# idx        omn         omt_i      temp_i         omt_e         Tref         nref        gamma        omega
 115   2.47039600   1.34127743   1.43044242   4.62686442   2.16873718  23.81208812   0.06871292  -0.00912828
 116   4.58650035   2.64094270   1.42305747   1.84533596   4.86062138  28.88886701   0.80566935   1.31249181
 117   1.20964520   3.95231882   0.93029267   2.71630297   2.11271922  24.03531048   0.14855038   0.11735725
 118   3.34457018   4.32764685   0.82178794   2.55524434   4.26326906  31.48415436   0.67029420   0.81229384
 119   1.47879026   4.18343596   1.33908670   1.80277041   3.27116243  26.69658984   0.12591676   1.12896879
 120   4.02559204   2.88474310   1.44651966   3.83164249   4.56785479  37.01081180   1.18943033   1.29451613
 121   4.30665431   3.99378561   1.48174642   2.05077615   4.66971838  19.89542545  -0.00747005  -0.00911119
 122   2.46727780   3.66124059   0.77283480   1.86321614   4.59264131  13.32331841   0.08844522   0.01311839
 123   4.93202845   1.97074916   1.06214411   3.71659258   3.44325869  16.37786726   0.00765348   0.01583496
 124   2.21249277   1.16001698   1.11715863   3.71565644   4.77059145  19.55582140   0.17354876   0.61232937
 125   4.61729034   3.16697462   1.21593416   1.82203534   4.93518010  36.55916294   1.03704114   1.21974872
 126   4.57899366   4.97734821   0.50266704   1.19661262   4.72857220  13.37616099   0.06319598  -0.01900852
 127   2.41002229   1.04809804   1.25007954   4.91077496   4.51623502  33.82838928   0.93084755   0.56253273
 128   1.81261496   1.30664567   1.26932883   4.12513781   4.96256959  34.64161430   0.80813419   0.53601434
 129   1.82528613   1.63102458   1.16425349   1.33841678   3.83033532  27.47984631   0.00632846   0.03127370
 130   2.61852740   2.35614257   1.07641305   2.62592744   2.88456134  14.98405439   0.06029568  -0.05434062
 131   2.90104073   1.05966838   1.26153227   1.17439867   2.76080639  28.15834612   0.02817635  -0.01807158
 132   3.51530414   2.72200170   1.23646677   1.93141198   3.53895976  19.91634665  -0.00427377   0.02616706
 133   3.12421489   1.07023664   1.38233018   3.28370995   3.76319392  21.97096821  -0.00746662   0.01392508
 134   1.03183518   2.35522928   0.55168806   3.51609200   4.14321999  34.71120936   0.29643609   0.29129477
 135   3.59266417   4.51475994   1.01888668   2.83618028   2.55247508  13.82340272   0.09609952  -0.01792868
 136   1.91056026   2.21206103   0.64410091   4.87281961   4.20358504  10.22658082   0.06470261  -0.10623188
 137   2.65106959   1.21642253   1.28366217   3.56398622   4.57570245  11.58585910   0.06344691  -0.04194498
 138   3.41259613   3.41296444   0.64175427   2.74394768   3.71177159  28.11507724   0.37314345   0.55971312
 139   3.34760720   4.13048697   0.80666773   4.44769544   4.16952077  34.96966337   0.99558374   0.76930519
 140   4.68987323   2.53825573   1.15568059   2.07974474   4.81507389  30.22334603   0.90073381   1.07953991
 141   3.75511457   4.01416645   0.86214950   1.22539810   3.35874112  31.06530448   0.18471952   0.75394016
 142   3.89188437   2.80467996   0.65689412   3.81987791   4.96276463  35.12787533   1.04103450   0.54726613
 143   4.78839061   1.22530650   1.36214130   3.70977054   2.32403209  32.96098184   0.27908783   1.00488781
 144   1.46653018   4.63127158   1.22820133   3.62309079   2.83657810  14.87405616   0.16818302   0.17026541
 145   1.60470339   2.98551871   1.03352396   3.50616543   3.58573529  25.21267847   0.12278364   0.75460614
 146   3.12073566   2.11037506   1.11754143   3.17157350   3.10580646  29.22663163   0.24821997   0.80214646
 147   3.53988834   3.49992262   1.49089886   4.16276051   4.43767204  17.26998500  -0.00708636  -0.00815154
 148   4.52960520   2.13218854   0.91317546   1.64374098   4.01345546  29.69646873   0.57325703   0.78773593
 149   4.68739892   4.37870076   0.66904257   2.73217944   3.30970758  21.53531617   0.01420553   0.47434134
 150   1.39798920   2.77425747   1.14750386   4.91251746   4.88518378  33.08497960   0.86453430   0.64808712
 151   4.07096882   1.98681347   1.28086844   1.19877459   3.32073384  37.80442407   0.51592401   1.01563890
 152   2.88986352   2.23323628   0.93190836   3.08993079   3.92269200  23.44563836   0.17718026   0.66133590
 153   1.61975917   4.60169346   0.95305487   3.38736394   4.64083772  10.81211413   0.15919388   0.12317636
 154   2.92250182   2.71071670   0.83600726   1.38677351   4.81266602  30.55267911   0.46365894   0.64270599
 155   3.09200095   4.08613901   1.41056465   2.84583073   2.24028822  36.05923880  -0.00528488  -0.00363376
 156   2.69656610   4.24175670   0.51565250   1.37176877   2.95577188  39.76831084   0.10779513   0.60530313
 157   2.67716346   3.36181504   0.75326318   3.39312154   4.75532584  21.15229813   0.33905527   0.60499654
 158   4.55869591   1.64500991   1.09688096   4.86815648   4.44771628  27.19507076   1.06923080   0.87210097
 159   1.01728737   1.05188673   0.89841365   1.47500105   2.98405635  18.43773898  -0.00215475  -0.00465477
 160   2.87722846   4.96991884   1.48309221   1.11360028   4.84507164  38.48625435   0.69198894   1.47108675
 161   4.44352765   3.00878890   1.07892144   3.48249611   4.56411230  19.84829190   0.50221224   1.00492895
 162   2.67468183   4.85497880   0.79684757   1.87044995   3.01585411  27.49126181   0.01927144   0.12772972
 163   1.18245033   4.32905116   0.77731079   3.90901039   4.94157633  18.87199156   0.15290782   0.66426785
 164   2.63145396   4.29866582   0.64617694   1.11076497   2.85051589  19.17694004   0.08146063  -0.02607465
 165   3.03778529   1.12263255   1.41672260   4.53058293   4.11672039  23.93135207   0.60602089   0.81811150
 166   3.98792341   4.59693363   1.18610056   4.50076170   3.45633827  30.27472097   0.76670566   1.26892125
 167   4.73509998   2.95454758   0.68969970   1.83029794   4.27502734  23.11075050   0.36796735   0.65257272
 168   3.61767823   2.04288436   0.98682707   4.00502756   2.65864765  19.37293889   0.06534711  -0.02162378
 169   1.41703782   3.94716467   1.10019971   4.99901622   2.97158961  37.68753100   0.62035823   0.82082799
 170   1.83102967   2.85892035   0.53967121   1.34519138   3.78537914  29.94740993   0.06380812   0.03532678
 171   2.40744561   3.56832991   1.18867982   4.18471488   4.83006318  22.13345303   0.59001484   0.95648736
 172   4.76745180   4.63645968   0.68973770   3.61205655   3.08957355  15.85810970   0.06807812   0.01062897
 173   3.24078833   4.26737067   1.40391132   3.00116412   4.68101268  29.34456134   0.77476789   1.35053784
 174   4.87263717   3.09150901   0.70917602   4.89701682   3.82878494  32.19204452   1.06959511   0.70481424
 175   3.22897645   3.90759877   1.30344761   3.93779427   2.11314553  29.28580100  -0.00517089  -0.00416143
 176   2.72254127   2.23646661   1.21755470   3.08413663   3.85819613  26.56453274   0.37671772   0.85126624
 177   4.21575674   3.49902812   1.24926264   3.18506003   4.60815962  29.56052809   0.92690881   1.23437845
 178   2.12058469   4.05632335   0.86066091   2.33463552   3.42805816  23.29975683   0.06053612   0.12620036
 179   2.75680151   4.81013571   1.42832662   2.61186641   4.97324318  23.82128800   0.45746035   1.33198132
 180   3.69472245   2.19207176   1.47585259   4.39734086   2.69721099  30.04785534   0.36511868   1.12571382
 181   4.33156241   1.24144192   0.70011939   4.11515158   4.84186017  23.24767935   0.77249705   0.49198620
 182   3.81407438   1.67234425   0.92648778   3.95280390   2.78294025  15.27706869   0.06166732  -0.10105125
 183   2.62719189   3.90039868   1.40129212   1.33483005   4.31437978  21.66021609  -0.00515450  -0.00234323
 184   2.55598365   2.32859479   0.68863553   1.12138467   4.76423073  30.46938448   0.25235365   0.47776103
 185   1.17103464   3.61868868   0.90674392   4.10625000   3.11614588  22.46021987   0.11705865   0.15866193
 186   1.20408750   4.73657905   0.59400050   4.31057578   4.25473635  25.87960988   0.34388390   0.48330421
 187   2.97758293   3.01986724   1.15697307   2.71381121   4.06082220  33.56643947   0.69511292   0.92931047
 188   4.08795853   1.61098797   0.99288509   2.89732057   4.56723101  11.70107005   0.05246817  -0.03635933
 189   3.40414629   4.08254252   0.65747137   3.40453759   3.05735220  32.85192213   0.45202204   0.62281704
 190   2.46903331   4.05010518   1.44915710   4.18080199   4.72737783  38.27800075   1.10344148   1.24087882
 191   3.16109407   2.03259660   1.20182423   1.74913275   2.64358473  38.50800854   0.14135634   0.83929371
 192   4.16232014   1.52171242   0.71374526   1.57461564   4.35191300  10.27419807   0.00863130   0.00248546
 193   1.74473191   3.16572710   0.75562880   2.85934500   4.45957857  30.36341004   0.40834006   0.53111586
 194   2.69437092   2.10677326   0.69022690   4.74858445   4.96380936  28.12162213   0.80147109   0.41858989
 195   1.81169794   1.81939215   0.90893535   2.17854847   2.26142109  22.94150100   0.04042951  -0.06125655
 196   4.85515773   3.59350726   1.44939107   1.16017140   3.03098310  27.57702378  -0.00748874  -0.01104319
 197   2.89772753   1.94933318   0.84704733   3.82321981   2.12338025  39.03287739   0.10736149   0.67758920
 198   1.98230747   1.60683506   1.02924598   4.15966457   3.84653806  11.17062075   0.06539571  -0.07327932
 199   4.89458036   2.48886559   1.40049471   3.66924702   3.04469030  30.95169710   0.61473220   1.28554933
 200   4.13651392   3.44930670   0.60575356   3.37489937   4.12092148  30.59599623   0.77161549   0.58035423
 201   4.07350864   4.19847077   1.07633741   2.38822421   3.90447329  13.30995935   0.03687982   0.04490561
 202   2.91746388   1.97349666   0.59432131   2.15718505   4.48612028  22.88251922   0.09457807   0.50410102
 203   4.19564651   4.65036417   0.95411125   2.71316053   4.45007925  26.99100272   0.70686770   1.05360859
 204   1.35575666   1.77615759   0.54941104   2.72490321   4.02079688  37.75098917   0.22834870   0.26832726
 205   2.58091399   1.71653834   1.44346443   3.11225181   2.45061751  26.65088913   0.02856521   0.02195284
 206   1.23120604   1.97853433   0.96683161   4.71248675   2.43880339  20.65239872   0.09195735   0.02147802
 207   3.77365367   2.76910901   1.23423911   1.40607284   3.00940069  25.78971499  -0.00685245  -0.01001513
 208   3.62043984   4.30717539   0.95814774   2.83171823   3.43187657  14.49108474   0.07459504   0.03534541
 209   1.68645552   1.97068367   0.65377931   1.62249500   3.72109938  29.90158208   0.04769865   0.01332258
 210   1.85897921   1.38815870   1.26551525   2.77413445   4.75309610  16.02554120   0.04200421   0.01271908
 211   4.95659991   1.77661779   1.38737785   1.96694249   3.78764294  17.07001093  -0.00790350   0.00899259
 212   1.43182688   3.31728784   0.85390753   2.26780134   3.77520955  22.60348901   0.08517780   0.11950157
 213   3.15069462   4.34499453   0.63922792   4.67735736   3.90245992  32.07441874   0.82283518   0.60654215
 214   2.79930873   3.61261390   0.67501447   2.16692610   3.05469542  33.71748910   0.11746552   0.71440045
 215   1.09943459   2.37997048   1.39871048   2.79612913   3.17273668  11.45029999   0.10074648   0.09010039
 216   1.13846733   3.28027502   0.63692944   3.12802071   2.32783569  24.42393170   0.11727294   0.04381223
 217   1.11669966   2.00703375   0.81397353   2.03332137   2.15210566  21.90027895   0.06326082   0.01368091
 218   4.74693129   1.65936866   0.86713090   1.59362162   4.00362387  14.92627171   0.03806883  -0.02827880
 219   2.67305000   3.04701081   1.45040299   4.62667747   3.99851250  29.31343166   0.80933046   1.11089312
 220   2.04310212   1.46802319   0.88025639   3.87021785   2.02104002  13.89264228   0.01131318  -0.16922794
 221   1.48427705   4.06693713   0.83431559   2.79819429   2.09030592  31.87425084   0.13101678   0.11858901
 222   1.68512943   4.86376885   0.98109214   2.69545734   3.41588003  39.20555181   0.47687244   0.86569905
 223   3.26083686   1.17386031   0.57025961   1.62963854   3.53976790  16.84738714   0.00938498   0.00049887
 224   1.27549759   1.71738767   1.40778424   1.50843315   4.29767894  25.91119619  -0.00599970   0.07248251
 225   2.79798381   3.94484102   1.43944952   3.46917485   3.90168965  16.90782313  -0.00474128  -0.00223901
 226   4.07866734   2.18034794   0.59201921   3.25995097   3.79594484  38.58690321   0.83315455   0.46284761
 227   2.81001197   2.74532922   0.77737726   3.66695351   4.89257096  17.35850322   0.12136822   0.69747106
 228   2.61877106   4.54235207   0.64141313   3.18566375   3.15792645  17.48149917   0.11609097   0.00702419
 229   2.21508526   2.33109894   1.39088711   2.35713079   2.47495403  18.50884912   0.06389025   0.01307320
 230   3.50570333   4.34155449   0.58303252   4.50585435   3.98234559  21.96495228   0.44856092   0.56864562
 231   3.10205272   4.82202445   1.47265233   2.98408929   4.65673013  20.55050010   0.23724003   1.28793721
 232   3.83005941   4.44601298   0.52725975   3.68887321   2.97971415  25.40152521   0.07822460   0.41221018
 233   4.32485604   2.51419075   0.84015540   4.13203216   2.10725199  12.16964719   0.00125901   0.01394020
 234   1.32956985   2.52769505   1.29768164   1.82002333   2.41629087  34.18526790   0.03658140   0.11656272
 235   3.76315848   4.99147368   0.70668420   4.57969010   4.95384385  22.02287335   0.79045124   0.77813289
 236   1.77411779   2.36930058   0.79506075   2.71011937   4.21268128  38.09766819   0.50093012   0.47382123
 237   1.19747518   3.96950236   1.11990589   3.27054318   4.44863962  34.37307992   0.62061253   0.82366406
 238   4.58390110   2.63276515   0.76179590   1.76036707   2.93604787  39.64766391   0.55438416   0.70367579
 239   1.88097903   2.84271316   1.31289169   3.89549985   3.90822222  16.48582939   0.04320409   0.10351655
 240   4.72692424   4.69631952   0.90255839   4.62033003   3.63971403  32.01259563   1.00412601   1.06731967
 241   3.14411270   4.36143781   1.20715003   2.30222449   4.26699443  32.91376532   0.68691550   1.16483776
 242   2.14018651   3.11003274   1.00989556   4.15932581   2.12469304  24.49597652   0.10104911   0.04519233
 243   3.90788980   3.34428976   1.46965666   4.99384530   2.18726388  30.10499276   0.04575524   1.06989384
 244   1.17920719   4.41451104   0.86510697   3.43705019   2.61004991  35.42224625   0.14618023   0.75010261
 245   1.62457450   4.57229297   1.35934504   3.63101233   2.20711054  28.97602028   0.03919361   0.23464602
 246   2.04683476   1.12769806   0.63971540   3.14751065   4.53073327  24.55476288   0.11393593   0.29714695
 247   1.23962133   3.98090875   1.05501514   3.28096642   4.81843559  25.59522546   0.42137162   0.79739069
 248   4.21336838   1.49601155   1.32807787   4.30585163   4.92835429  21.66910682   0.83980708   0.99508478
 249   2.23166675   3.48205504   0.60917221   4.79254452   4.14952712  38.63194431   0.85142213   0.43751214
 250   1.62828569   1.00245148   0.80543769   3.50971306   4.77667348  38.19082802   0.58254594   0.28350851
 251   1.28318387   3.36127623   0.84557505   1.38179595   3.44344451  33.42181895   0.03806757   0.15504011
 252   1.87965876   4.38662124   0.94680239   1.88786623   2.20833725  30.00247248   0.11582791   0.12795121
 253   4.45307619   4.77590595   0.89510399   3.14995505   4.06038571  15.92257039   0.00249786   0.04716357
 254   1.71667229   1.86503400   1.48248334   1.61819704   4.41834720  35.06154487   0.42494594   0.83795795
 255   3.91192604   1.95458260   1.01428091   4.92414907   4.93144197  32.30844303   1.20362802   0.75368868
 256   4.48789255   1.06412553   1.21977288   3.64063662   4.80308124  15.74164725   0.20493476   0.84555672
 257   2.46141211   3.21145740   1.46957056   1.02035033   2.19392723  16.81424847   0.08208056   0.03601033
 258   4.51336277   2.12241278   1.49926003   3.86630238   3.33338743  37.90315341   0.99224263   1.28617295
 259   4.49181528   1.91580939   0.53039933   2.79269890   2.53810894  17.62593098   0.01137772   0.00310579
 260   3.35821825   1.23644619   0.76115047   3.01391167   2.95160007  14.83173745   0.00858133   0.00495723
 261   3.95117395   1.97659005   1.31334147   4.41680855   4.11744742  29.73398084   0.97093990   1.01693713
 262   3.44636379   2.02459266   0.76600067   2.70145961   3.31443047  33.67245484   0.45352724   0.55836163
 263   1.78520065   2.58071661   1.10859503   1.97772209   2.73482369  18.31733678   0.07916387   0.02746871
 264   3.81870414   3.46902897   1.39655317   3.03574530   3.92501516  23.07055573   0.28687239   1.19390076
 265   2.41966294   1.78019170   1.34631386   4.27051021   3.37350941  12.29046696   0.07397562  -0.03540753
 266   1.65147355   4.12270204   0.66874766   4.35403883   4.05643257  11.57045987   0.14157622   0.02585776
 267   3.38312252   2.22707700   1.17524727   2.52767183   2.54622770  31.94325462  -0.00750530  -0.01117907
 268   1.93179247   2.16468243   0.92499819   1.49678399   3.60111568  33.48064987   0.09100262   0.68519708
 269   1.79838031   3.32183511   1.09867811   2.82823759   4.56421898  38.00342406   0.72010810   0.78071779
 270   3.72564542   2.27740166   1.14934731   2.34858348   2.91878814  33.76194452   0.32760303   0.89703435
 271   3.97271281   4.41925248   0.61498633   1.24887713   3.34874602  11.66474105   0.01337980   0.00504019
